a		A
12	->	11
11		1
11		1
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12	->	11
11		1
11		1
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12	->	11
11		1
11		1
11		1
11		1
10		2
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12	->	11
11		1
9		3
8		4
9		3
8		4
6		6
5		7
3		9
3		9
1		11
1		11
1		11
2		10
2		10
1		11
2		10
2		10
2		10
5		7
3		9
3		9
4		8
3		9
4		8
7		5
7		5
7		5
7		5
6		6
5		7
5		7
4		8
2		10
3		9
2		10
1		11
2		10
3		9
3		9
2		10
4		8
6		6
7		5
7		5
7		5
11		1
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12	->	11
11		1
11		1
10		2
7		5
11		1
10		2
9		3
10		2
9		3
11		1
11		1
11		1
12		0
12		0
12		0
12		0
12		0
12		0
12	->	11
11		1
10		2
7		5
10		2
11		1
11		1
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
12		0
